model,d,p,q,mae,rmse,hit_rate,dm_stat,dm_pvalue,sharpe,sortino,max_drawdown,profit_factor,win_rate,payoff_ratio,n_test_points,n_trades
ARIMA,0,2,1,0.003439,0.004543,100.0,-0.658128,0.510456,1.25499,0.0,0.0,inf,100.0,inf,160,1
ARIMA,0,5,2,0.003442,0.00456,0.0,0.847097,0.396941,0.0,0.0,0.0,0.0,0.0,0.0,160,0
ARIMA,0,1,0,0.003444,0.004573,0.0,1.401992,0.160918,0.0,0.0,0.0,0.0,0.0,0.0,160,0
ARIMA,0,1,1,0.003443,0.004573,0.0,1.404087,0.160293,0.0,0.0,0.0,0.0,0.0,0.0,160,0
ARIMA,0,2,0,0.003435,0.004573,0.0,0.987175,0.323557,0.0,0.0,0.0,0.0,0.0,0.0,160,0
ARIMA,0,1,2,0.003437,0.004575,0.0,1.170945,0.241621,0.0,0.0,0.0,0.0,0.0,0.0,160,0
ARIMA,0,5,0,0.003439,0.004586,100.0,1.244537,0.213302,1.25499,0.0,0.0,inf,100.0,inf,160,1
ARIMA,0,5,1,0.003439,0.004586,100.0,1.239125,0.215299,1.25499,0.0,0.0,inf,100.0,inf,160,1
ARIMA,0,2,2,0.003447,0.004592,0.0,1.741767,0.081549,0.0,0.0,0.0,0.0,0.0,0.0,160,0
