2026-06-03 08:10:14,566 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:10:26,563 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:10:44,563 | WARNING | Se omite job 'production': hay otra ejecucion activa en el grupo 'automation_scheduler.production.lock'.
2026-06-03 08:11:09,555 | WARNING | Se omite job 'production': hay otra ejecucion activa en el grupo 'automation_scheduler.production.lock'.
2026-06-03 08:11:14,568 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:11:26,554 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:12:14,562 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:12:26,558 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:13:14,570 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:13:26,557 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:14:14,559 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:14:26,563 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:15:14,557 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:15:26,558 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:15:44,567 | WARNING | Se omite job 'production': hay otra ejecucion activa en el grupo 'automation_scheduler.production.lock'.
2026-06-03 08:16:09,568 | WARNING | Se omite job 'production': hay otra ejecucion activa en el grupo 'automation_scheduler.production.lock'.
2026-06-03 08:16:14,554 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:16:26,558 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:17:14,564 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:17:26,555 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:18:14,554 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:18:26,559 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:19:14,554 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:19:26,555 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:20:14,566 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:20:26,560 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:20:44,554 | WARNING | Se omite job 'production': hay otra ejecucion activa en el grupo 'automation_scheduler.production.lock'.
2026-06-03 08:21:09,565 | WARNING | Se omite job 'production': hay otra ejecucion activa en el grupo 'automation_scheduler.production.lock'.
2026-06-03 08:21:14,557 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:21:26,556 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:22:14,561 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:22:26,553 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:23:14,567 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:23:26,562 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:24:14,561 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:24:26,566 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:25:14,558 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:25:26,561 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:25:44,553 | WARNING | Se omite job 'production': hay otra ejecucion activa en el grupo 'automation_scheduler.production.lock'.
2026-06-03 08:26:09,559 | WARNING | Se omite job 'production': hay otra ejecucion activa en el grupo 'automation_scheduler.production.lock'.
2026-06-03 08:26:14,563 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:26:26,554 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:27:14,563 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:27:26,555 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:28:14,558 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:28:26,557 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:29:14,562 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:29:26,565 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:30:14,567 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:30:26,558 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:30:37,821 | INFO | Riesgo monitor_runtime [aggressive_hybrid_v1_3_tp5_sl3]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:30:44,645 | INFO | Ejecutando job 'production' [aggressive_hybrid_v1_3_tp5_sl3]: C:\Users\USER\Documentos\Maestria\Mark-III\.venv\Scripts\python.exe main_pipeline.py --mode production --config C:\Users\USER\Documentos\Maestria\Mark-III\config\config_optimizado_20260513_152459.yaml
2026-06-03 08:31:03,831 | INFO | Señal production [aggressive_hybrid_v1_3_tp5_sl3]: ts=2026-06-03 16:30:00 signal=HOLD primary=HOLD(0.655) filter=HOLD support=0.0 pips=3.109062956019094 reason=signal_hold entry= sl= tp=
2026-06-03 08:31:03,833 | INFO | Job 'production' completado.
2026-06-03 08:31:09,632 | INFO | Ejecutando job 'production' [aggressive_hybrid_v1_3_tp5_sl3_directional_robust]: C:\Users\USER\Documentos\Maestria\Mark-III\.venv\Scripts\python.exe main_pipeline.py --mode production --config C:\Users\USER\Documentos\Maestria\Mark-III\config\config_optimizado_20260519_223006.yaml
2026-06-03 08:31:14,554 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:31:21,117 | INFO | Riesgo monitor_runtime [aggressive_hybrid_v1_3_tp5_sl3]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:31:26,562 | INFO | Ejecutando job 'sync_trades' [aggressive_hybrid_v1_3_tp5_sl3_directional_robust]: C:\Users\USER\Documentos\Maestria\Mark-III\.venv\Scripts\python.exe main_pipeline.py --mode sync_trades --config C:\Users\USER\Documentos\Maestria\Mark-III\config\config_optimizado_20260519_223006.yaml
2026-06-03 08:31:32,453 | INFO | Señal production [aggressive_hybrid_v1_3_tp5_sl3_directional_robust]: ts=2026-06-03 16:30:00 signal=HOLD primary=HOLD(0.377) filter=HOLD support=0.0 pips=0.3219684699393087 reason=signal_hold entry= sl= tp=
2026-06-03 08:31:32,453 | INFO | Job 'production' completado.
2026-06-03 08:31:35,521 | INFO | Riesgo sync_trades [aggressive_hybrid_v1_3_tp5_sl3_directional_robust]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:31:35,522 | INFO | Job 'sync_trades' completado.
2026-06-03 08:31:46,971 | INFO | Riesgo monitor_runtime [aggressive_hybrid_v1_3_tp5_sl3]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:32:14,554 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:32:16,072 | INFO | Riesgo monitor_runtime [aggressive_hybrid_v1_3_tp5_sl3]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:32:26,562 | INFO | Ejecutando job 'sync_trades' [aggressive_hybrid_v1_3_tp5_sl3_directional_robust]: C:\Users\USER\Documentos\Maestria\Mark-III\.venv\Scripts\python.exe main_pipeline.py --mode sync_trades --config C:\Users\USER\Documentos\Maestria\Mark-III\config\config_optimizado_20260519_223006.yaml
2026-06-03 08:32:33,199 | INFO | Riesgo sync_trades [aggressive_hybrid_v1_3_tp5_sl3_directional_robust]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:32:33,199 | INFO | Job 'sync_trades' completado.
2026-06-03 08:32:47,162 | INFO | Riesgo monitor_runtime [aggressive_hybrid_v1_3_tp5_sl3]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:33:14,564 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:33:15,712 | INFO | Riesgo monitor_runtime [aggressive_hybrid_v1_3_tp5_sl3]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
