Date,Open,High,Low,Close,TickVolume,Volume,Return,LogReturn,Return_5,LogReturn_5,Return_10,LogReturn_10,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,ATR_14,Close_lag1,Close_lag2,Close_lag3,Close_lag5,Close_lag10,Volume_lag1,Volume_lag2,Volume_lag3,Volume_lag5,Volume_lag10
2020-02-05,1.10439,1.10478,1.09935,1.09985,39847,0,,,,,,,,,1.09985,1.09985,,0.0,0.0,0.0,,,,,,,,,,,,,,
2020-02-06,1.09979,1.10138,1.09643,1.09806,33720,0,-0.0016274946583624272,-0.0016288204664862845,,,,,,,1.0995746153846153,1.0997174074074074,,-0.00014279202279210423,-2.8558404558420848e-05,-0.00011423361823368339,,,,,1.09985,,,,,0.0,,,,
2020-02-07,1.09808,1.09848,1.09419,1.09435,41101,0,-0.0033786860462999835,-0.003384406695151911,,,,,,,1.0987708284023667,1.0993198216735254,,-0.0005489932711586487,-0.00013264537787846645,-0.00041634789328018226,,,,,1.09806,1.09985,,,,0.0,0.0,,,
2020-02-10,1.09414,1.09576,1.09077,1.09105,33244,0,-0.003015488646228248,-0.0030200443929561996,,,,,,,1.0975830086481564,1.0987072422903015,,-0.0011242336421450894,-0.000330963030731791,-0.0007932706114132984,,,,,1.09435,1.09806,1.09985,,,0.0,0.0,0.0,,
2020-02-11,1.09087,1.0924800000000001,1.08912,1.09156,35178,0,0.0004674396223820487,0.0004673304065149861,,,,,,,1.0966563919330554,1.0981778169354643,,-0.001521425002408927,-0.0005690554250672184,-0.0009523695773417087,,,,,1.09105,1.09435,1.09806,,,0.0,0.0,0.0,,
2020-02-12,1.09144,1.09256,1.08653,1.0873599999999999,35271,0,-0.0038477042031589415,-0.0038551256601405607,-0.011356094012820006,-0.011421066808219863,,,,,1.0952261777895085,1.097376497162467,,-0.00215031937295862,-0.0008853082146454987,-0.0012650111583131214,,,,,1.09156,1.09105,1.09435,1.09985,,0.0,0.0,0.0,0.0,
2020-02-13,1.08716,1.08888,1.0834,1.08388,36610,0,-0.0032004120070628916,-0.003205544278751765,-0.01291368413383609,-0.01299779062048533,,,,,1.0934806119757379,1.096376756631914,,-0.0028961446561761583,-0.0012874755029516306,-0.0016086691532245278,,,,,1.0873599999999999,1.09156,1.09105,1.09806,,0.0,0.0,0.0,0.0,
2020-02-14,1.08377,1.08612,1.08272,1.083,30619,0,-0.0008118979960881623,-0.0008122277637700833,-0.01037145337414902,-0.010425611689103543,,,,,1.0918682101333168,1.0953858857702907,,-0.003517675636973916,-0.0017335155297560877,-0.0017841601072178283,,,,,1.08388,1.0873599999999999,1.09156,1.09435,,0.0,0.0,0.0,0.0,
2020-02-17,1.08405,1.08509,1.0829,1.08337,21868,0,0.00034164358264088257,0.00034158523576094916,-0.007039090784107138,-0.007063982060386462,,,,,1.0905607931897296,1.0944958201576764,,-0.003935026967946786,-0.0021738178173942276,-0.0017612091505525588,,,,,1.083,1.08388,1.0873599999999999,1.09105,,0.0,0.0,0.0,0.0,
2020-02-18,1.08311,1.08378,1.07854,1.0791,36444,0,-0.003941405060136405,-0.003949192867063526,-0.011414855802704515,-0.0114805053339651,,,,,1.0887975942374635,1.0933553890348857,,-0.004557794797422243,-0.002650613213399831,-0.0019071815840224124,,,,,1.08337,1.083,1.08388,1.09156,,0.0,0.0,0.0,0.0,
2020-02-19,1.0789900000000001,1.08117,1.07822,1.0807,35116,0,0.0014827170790474575,0.0014816189394321001,-0.006124926427310107,-0.0061437607343924954,-0.01741146519979997,-0.017564827542612356,,,1.0875518105086228,1.0924179528100793,,-0.004866142301456433,-0.003093719031011151,-0.001772423270445282,,,,,1.0791,1.08337,1.083,1.0873599999999999,1.09985,0.0,0.0,0.0,0.0,0.0
2020-02-20,1.08073,1.08211,1.07778,1.07831,43087,0,-0.002211529564171255,-0.0022139786070979744,-0.005138945270694029,-0.005152195062738665,-0.017986266688523322,-0.018149985683224013,,,1.086129993507296,1.091372919268592,,-0.0052429257612958136,-0.0035235603770680836,-0.00171936538422773,,,,,1.0807,1.0791,1.08337,1.08388,1.09806,0.0,0.0,0.0,0.0,0.0
2020-02-21,1.07845,1.08636,1.07836,1.08463,46377,0,0.0058610232678912855,0.005843914289216502,0.0015050784856878163,0.0015039469902477897,-0.008881984739799842,-0.008921664698855645,,,1.0858992252754043,1.090873443767215,,-0.004974218491810678,-0.0038136920000166026,-0.0011605264917940753,,,,,1.07831,1.0807,1.0791,1.083,1.09435,0.0,0.0,0.0,0.0,0.0
2020-02-24,1.0822,1.08721,1.0805,1.08532,59607,0,0.0006361616403751658,0.0006359593753364498,0.0017999390789851244,0.0017983211298234461,-0.0052518216397048345,-0.0052656609305629975,,,1.0858101136945728,1.090462077562236,28.319904506117624,-0.0046519638676632,-0.003981346373545923,-0.0006706174941172776,,,,0.004814285714285723,1.08463,1.07831,1.0807,1.08337,1.09105,0.0,0.0,0.0,0.0,0.0
